AT	120406	12292	7933	9064	7513	5460	6383	4838	7556	5889	6741	5466	6175	3876	6116	1275	1892	3702	3556	2328	2112	509	677
BA	75322	5537	13775	6396	4420	988	615	1260	820	4499	356	957	188	194	4639	147	77	1676	1805	460	906	178	1037
BE	60322	11523	6987	13362	15729	5438	15906	10018	726	5020	9594	2412	3216	3671	9811	894	636	6757	6864	7477	1773	399	770
BG	126566	6461	8671	9088	6978	4323	6841	4874	3643	3390	2544	3565	2388	3207	3331	1282	1403	3630	1341	4377	992	818	305
CZ	111369	8882	9967	8934	4595	4773	7464	3995	4070	2668	2580	3325	3832	3040	3805	2427	1080	2837	1917	2004	1524	722	375
DK	209400	16092	6704	16348	12980	4557	11853	7062	11323	10563	12245	5216	11245	10076	12939	5986	1658	3574	20149	5007	1744	1208	681
EE	102618	14606	12390	12293	6695	4607	8643	4450	9469	5213	3596	4394	5792	4429	6743	2013	2652	5875	3883	4202	2040	726	543
ES	38117	6130	2986	3325	3639	1122	2139	1243	1440	4588	2665	832	1064	862	1689	816	396	523	865	1201	468	196	63
ES-CT	26892	2547	1901	2308	1506	627	1973	590	2022	3582	956	496	1046	739	1070	934	378	100	246	326	435	117	33
ES-GA	45638	3761	2377	3687	795	751	5336	2042	2211	2530	2562	2406	1701	1948	396	1377	803	208	167	1134	320	869	59
ES-PV	18805	1930	1445	1633	1299	795	1899	704	1552	1804	1995	425	1083	640	565	725	428	52	205	584	396	109	75
FI	47012	15778	3641	8201	4332	2637	10525	4460	7204	3955	7704	3208	5777	4067	4736	2022	537	2495	4356	1949	1180	612	470
FR	414115	34575	25998	35166	22123	10618	30116	10182	12949	17399	15766	13593	10389	14865	8036	10975	2810	6547	5614	5718	3961	2246	1099
GB	98574	26097	31622	53283	47397	18896	57503	24198	27048	26975	18696	11711	23632	13698	81176	23307	3113	19316	21879	12071	10369	4161	16190
GR	240990	13276	8357	11640	5380	4009	9204	3408	6549	4119	5922	5305	2603	2379	4578	2012	1736	2399	2930	2266	1665	1367	180
HR	269122	27979	28716	25517	16488	14090	12891	7794	11218	13836	9449	12868	6597	5902	9027	8216	2743	6492	2368	4681	4115	3453	776
HU	52946	7510	5319	6422	3116	3045	4450	2119	4052	3075	2398	3166	2982	2134	3245	1718	932	1274	2618	2163	748	491	423
IS	10104	12271	7221	6834	2454	4692	7642	4134	2766	4319	2204	5069	4788	3619	5043	2518	596	477	2065	4062	1098	807	503
IT	123381	6097	7313	5089	5292	1549	3149	1336	1562	2964	1678	1695	854	2133	2920	560	1063	922	1323	605	460	700	151
LV	105199	10054	8232	6332	4299	3732	2663	1894	4432	1771	1475	864	1705	1136	1783	1717	950	1676	768	988	679	321	112
NL	279714	26262	23662	35301	26628	8527	36115	9162	16274	17121	14036	12984	11215	15595	25760	10226	930	7097	13571	11281	4599	713	2475
NO	113049	21121	11946	20795	15986	7464	27434	23862	21111	10191	12357	16474	15121	17233	13890	5160	4914	9964	9650	12731	4408	2388	1560
PL	109234	10897	8947	12694	11032	4975	9053	5410	5429	6716	3290	7107	5398	3966	5154	2621	2153	3336	1971	4790	2479	1201	473
PT	132948	20397	8770	11965	5293	4396	11697	4373	7459	4540	8358	3331	4862	3636	4002	3781	1265	1375	1692	1542	945	1602	348
RS	173036	18749	21214	16419	15199	7003	5377	4003	7452	8171	4581	5706	1908	2367	7589	4459	1779	3505	1410	2147	1978	1144	873
SE	1403	5293	1823	5483	6861	1997	4961	5115	5434	3656	4626	2611	3191	5825	7395	3017	1433	3776	5254	3228	1189	392	699
SI	152929	21219	20423	14397	10069	9288	8825	8711	8326	7834	6770	6041	5917	5237	4943	4053	3419	3408	2545	2396	2307	1978	319
TR	432663	19859	15803	39494	39525	5667	9475	5152	9277	36493	9258	10914	2603	5255	13731	4889	1244	6437	2153	4812	2126	3044	1178
UA	224682	25403	29689	25008	21668	10348	6780	3600	4849	8990	5259	10335	7012	3193	9523	5833	2363	9120	1859	7188	3340	1370	2025
